Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
PRT,porto,01:30.0,14.3,0,0.3,2,0,01:30.0,12.978857040929585,12.688757569466407,0.2900994714631757
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.503167022887796,12.560775312212115,-0.057608289
PRT,porto,01:30.0,5.6,0,0.2,1,0,01:30.0,12.300454403778245,12.553880739370848,-0.253426336
PRT,porto,01:30.0,1.1,2,0.2,1,6,01:30.0,12.469791769011188,12.89016588273454,-0.420374114
PRT,porto,01:30.0,2.7,4,0.2,1,15,16:30.0,12.895982299883649,13.3999722,-0.503989901
PRT,porto,16:30.0,1.3,5,0.1,1,7,46:30.0,13.435532163134065,13.937132692339038,-0.501600529
PRT,porto,01:30.0,5.5,6,0.3,2,11,01:30.0,13.551180032834424,14.537364824738177,-0.986184792
PRT,porto,01:30.0,21.7,12,6,9,29,01:30.0,13.488323208857931,14.408656506948542,-0.920333298
PRT,porto,01:30.0,15.9,16,4.2,8,36,31:30.0,13.750615257406276,14.443488112053265,-0.692872855
PRT,porto,01:30.0,72.4,28,16.5,22,40,01:30.0,15.09447563580898,14.475817380858572,0.6186582549504074
PRT,porto,01:30.0,156.8,35,27.5,42,39,46:30.0,15.90007861438689,14.579505395930475,1.3205732184564152
PRT,porto,31:30.0,221.7,36,35,51,36,31:30.0,15.925626821059115,14.514755292965791,1.4108715280933222
PRT,porto,46:30.0,131.5,26,24.9,37,33,46:30.0,14.959708848530068,14.470991576174349,0.4887172723557196
PRT,porto,46:30.0,46.3,16,9.7,19,19,46:30.0,13.751800735100389,13.739440626042809,0.012360109
PRT,porto,01:30.0,40.1,16,12.2,18,19,01:30.0,13.734001426139908,14.247824904942629,-0.513823479
PRT,porto,16:30.0,49.2,17,8.9,21,22,16:30.0,13.749428656565724,14.483336229335473,-0.733907573
PRT,porto,46:30.0,42.3,15,5.4,18,20,46:30.0,13.37999912416173,14.218832035169386,-0.838832911
PRT,porto,01:30.0,29.8,12,5.6,14,20,46:30.0,12.907310788626113,13.710449436277756,-0.803138648
PRT,porto,46:30.0,22.3,9,3.4,8,13,46:30.0,12.54286777434932,13.38309774538172,-0.840229971
PRT,porto,46:30.0,6,2,0.7,3,3,46:30.0,11.678291890723642,12.34757206553077,-0.669280175
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,10.78656538991746,10.92645038223221,-0.139884992
PRT,porto,01:30.0,11,0,0.9,4,0,01:30.0,10.80157970756185,10.751588671290753,0.049991036
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,11.207709538921272,11.28537563113412,-0.077666092
PRT,porto,01:30.0,5.8,0,0.3,1,0,01:30.0,11.426494319341357,11.519505192170566,-0.093010873
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.12072954166415,12.26528265396748,-0.144553112
PRT,porto,01:30.0,0.6,0,2.1,1,0,01:30.0,12.670978537647626,12.888681619280431,-0.217703082
PRT,porto,01:30.0,0,0,0,0,0,01:30.0,12.657191720376264,12.85375200625589,-0.196560286
PRT,porto,01:30.0,2.9,0,0.5,2,0,01:30.0,12.401913925724813,12.617453027031232,-0.215539101
PRT,porto,01:30.0,10.3,0,1.8,4,3,01:30.0,12.410679630377883,12.908849330195055,-0.4981697
PRT,porto,01:30.0,16,2,0.7,6,5,16:30.0,13.05709849109066,13.669488663148869,-0.612390172
PRT,porto,01:30.0,11.7,3,2.7,5,8,01:30.0,13.206188516406788,14.086619750642429,-0.880431234
PRT,porto,01:30.0,26.8,10,3.2,5,12,01:30.0,13.959613059196368,14.83550098780495,-0.875887929
PRT,porto,01:30.0,37.5,18,4.7,10,25,01:30.0,14.258101550470922,16.083161461155285,-1.825059911
PRT,porto,01:30.0,91,40,29.9,34,44,01:30.0,16.37773228837967,18.20507269317205,-1.827340405
PRT,porto,01:30.0,308.3,51,66.2,99,58,01:30.0,17.69404490164719,19.37606633928134,-1.682021438
PRT,porto,46:30.0,323.4,48,70,102,58,31:30.0,17.305447660469873,19.01726500401375,-1.711817344
PRT,porto,31:30.0,364.2,45,69.9,116,58,31:30.0,16.90786889087456,18.430107415240165,-1.522238524
PRT,porto,31:30.0,143.1,35,30.2,55,53,46:30.0,15.780571435521944,16.509908892974337,-0.729337457
PRT,porto,31:30.0,137,31,27.4,52,48,46:30.0,15.465647485982188,15.660501855956117,-0.19485437
PRT,porto,46:30.0,86.4,25,21.3,32,31,46:30.0,14.89679115833678,15.134693681683435,-0.237902523
